n,t,farmid,year,y1,y2,y3,y4,p1,p2,p3,p4,x1,x2,x3,x4,x5,x6,w1,w2,w3,w4,w5,w6
2240,5,2240,2002,155.34801,184.55029,283.4921,83.563583,4.3605661,.90332884,1.0123698,1.1096512,266,5.2979999,315.45261,284.09238,411.73489,611.34021,.25977385,152.14302,1.0604759,.92577839,.037415985,.1443188
2240,6,2240,2003,157.50999,149.93398,299.49374,93.410217,3.8419449,.86918533,.99961525,1.1039592,266,6.0900002,266.86261,341.63666,358.66986,529.66479,.26712057,156.08502,1.0632651,.93909574,.021912234,.14190781
2240,7,2240,2004,142.72501,243.45444,289.79224,72.093208,3.769932,.90066993,1.0201359,1.0253301,266,5.6900001,269.32257,322.13544,325.31372,448.16061,.27113593,144.82918,1.0596117,.98169905,.010388349,.15478641
2249,1,2249,1998,74.557999,138.74098,280.28992,77.315994,4.1642261,1.0769551,1.002804,1.1993631,250,4.9070001,110.77435,269.47968,277.61313,511.94873,.23422301,129.21576,1.1840621,.95454699,.03531,.12711601
2249,2,2249,1999,74.302002,107.32599,270.17795,74.671921,4.2063656,.93883872,1.0021182,1.1677957,250,4.9359999,113.53618,261.62531,293.1532,482.5867,.23355913,140.25055,1.1608925,.93653768,.035666667,.14611828
2249,3,2249,2000,75.999001,127.57216,295.89114,76.070198,4.010725,.873546,.99403507,1.096674,250,5.0640001,90.197197,218.36243,261.48785,372.79929,.23651564,134.53166,1.1145242,.93267494,.032353554,.12829858
2249,4,2249,2001,77.380997,148.71411,252.53101,74.967545,4.1785126,.92037725,.99509019,1.0676376,250,4.6420002,115.88757,266.55856,232.96236,402.60675,.2284701,135.86392,1.0882107,.91496325,.037897885,.089872122
2304,2,2304,1999,60.226002,58.379902,244.40987,116.4676,4.2063656,.93883872,1.0021182,1.1539893,146,5.3049998,25.857286,222.50972,117.76961,1449.8854,.25426883,127.10335,1.1608925,.94804305,.035666667,.093193553
2304,3,2304,2000,59.636002,70.848022,456.31204,39.050594,4.010725,.873546,.99403507,1.124565,146,6.3940001,12.278278,266.20071,118.3908,1401.6357,.25325024,125.62663,1.1145242,.93379056,.032353554,.093713745
2304,4,2304,2001,57.189999,81.007057,243.15778,64.676941,4.1785126,.92037725,.99509019,1.0892935,146,4.2090001,58.227863,254.30446,130.23529,1320.4739,.25120884,126.28875,1.0882107,.92470837,.037897885,.10178289
2304,5,2304,2002,60.717999,54.178696,203.83315,65.600998,4.3605661,.90332884,1.0123698,1.0690281,184,3.8,39.741936,217.48564,126.11243,1211.1073,.27367124,139.72519,1.0604759,.93112355,.037415985,.10690282
2304,6,2304,2003,58.695999,107.05762,197.66702,86.046066,3.8419449,.86918533,.99961525,1.0872643,184,5.2800002,60.149162,201.49118,126.68187,1133.0487,.27025089,147.74585,1.0632651,.94744325,.021912234,.087648936
2305,2,2305,1999,57.866001,107.03186,227.25374,28.885715,4.2063656,.93883872,1.0021182,1.1677957,188,5.2490001,79.63826,247.22235,133.94609,1117.9077,.23355913,140.25055,1.1608925,.93653768,.035666667,.10124731
2305,3,2305,2000,56.681999,94.684547,218.28619,58.494408,4.010725,.873546,.99403507,1.096674,155,3.582,76.680679,233.01315,159.57854,1029.0095,.23651564,134.53166,1.1145242,.93267494,.032353554,.10375451
2305,4,2305,2001,55.514999,100.08823,203.10118,48.264706,4.1785126,.92037725,.99509019,1.0676376,173,2.835,57.094528,220.47218,142.79411,1105.0808,.2284701,135.86392,1.0882107,.91496325,.037897885,.1007001
2305,5,2305,2002,66.542999,104.37396,218.86694,32.437378,4.3605661,.90332884,1.0123698,1.1096512,173,2.7349999,63.776211,263.31177,163.35147,1264.5273,.25977385,152.14302,1.0604759,.92577839,.037415985,.10583379
2305,6,2305,2003,85.293999,82.013206,206.81523,39.943291,3.8419449,.86918533,.99961525,1.1039592,158,2.6400001,95.390579,256.05667,157.48499,1308.6432,.26712057,156.08502,1.0632651,.93909574,.021912234,.092866138
2305,7,2305,2004,87.971001,82.666664,204.97758,15.585613,3.769932,.90066993,1.0201359,1.0253301,178,3.02,84.259804,324.63385,165.87543,1197.7734,.27113593,144.82918,1.0596117,.98169905,.010388349,.086223297
2305,8,2305,2005,89.704002,80.967781,198.86627,2.7289157,3.7549469,.88862991,1.0092953,1.0184987,166,3.05,73.42942,290.32886,175.57997,1062.7034,.27405387,167.93265,1.0358827,.98577583,.0092033008,.076694183
2305,9,2305,2006,97.380997,75.452225,187.49602,58.748932,3.6110001,.89999998,1.002,.93599999,166,3.4300001,94.600395,244.63499,148.22221,1205.2278,.264,167.343,1.001,1,.011,.077
4231,1,4231,1998,101.391,128.70009,311.94366,25.260927,4.4937863,1.255859,1.002804,.86156398,268,6.2119999,190.03777,377.38684,264.8894,841.5636,.071796998,118.31322,1.1840621,.93100703,.041195001,.083567001
4231,2,4231,1999,104.69,121.14777,298.37772,82.909447,4.2915053,1.1367311,1.0021182,.8767097,268,6.4419999,173.30527,348.37015,267.46155,724.47565,.071333334,120.66494,1.1608925,.91697848,.042569894,.085139789
4231,3,4231,2000,94.486,110.89854,307.21664,54.434017,3.9995689,1.0665517,.99403507,1.1412996,249,6.4720001,148.11612,328.47107,240.89645,674.75916,.080326065,130.3681,1.1145242,.9070152,.039047394,.07586351
4231,4,4231,2001,109.312,104.43787,306.24701,26.628025,3.9619532,1.0806311,.99509019,1.0741343,249,6.0640001,236.87662,372.02667,231.30762,661.28748,.088789329,124.38952,1.0882107,.89222449,.044394664,.092037722
4231,5,4231,2002,109.871,117.08108,306.6716,27.254114,4.1275177,1.1075132,1.0123698,1.0390954,269,6.9980001,179.87399,379.78076,216.722,978.64014,.084453233,126.78995,1.0604759,.92150229,.045968212,.095143512
4231,6,4231,2003,108.083,122.69007,283.44885,32.886887,3.8868129,1.0403094,.99961525,1.0423963,269,4.882,158.27773,429.12708,241.38416,810.09448,.0761711,121.64838,1.0632651,.93596548,.026085993,.081388302
4231,7,4231,2004,113.414,96.147461,281.82895,34.416233,3.9517281,1.0637671,1.0201359,.99832046,260,2.8710001,151.51079,346.96085,213.65916,836.46796,.069601946,127.68633,1.0596117,.98169905,.01246602,.073757283
4231,8,4231,2005,108.122,124.01723,265.32016,31.511183,3.9277647,1.0686055,1.0092953,.96021116,260,3.615,153.74432,398.47549,202.24977,749.95337,.063400522,128.30731,1.0358827,.98066288,.01124848,.076694183
4231,9,4231,2006,96.633003,92.485336,266.42715,38.939121,3.845,1.057,1.002,1.002,260,3.036,161.2867,341.388,216.51656,794.57452,.059999999,143.94901,1.001,1,.013,.082999997
4241,1,4241,1998,152.649,332.91302,340.9155,101.1216,4.3360682,1.149929,1.002804,1.122858,380,4.73,251.4334,628.64136,373.80963,4062.5867,.30013499,126.99948,1.1840621,.96160901,.037664004,.087098002
4241,2,4241,1999,181.66901,326.27646,350.69458,73.557495,4.153441,1.0113226,1.0021182,1.1206237,380,3.733,243.95343,493.1944,407.65869,4182.4155,.28648388,123.70235,1.1608925,.9468925,.037967741,.093193553
4241,3,4241,2000,180.02499,213.96977,298.61166,279.07422,3.9158957,.92263418,.99403507,1.0520483,380,4.526,275.2883,545.33496,375.49576,4014.2302,.27110049,130.50531,1.1145242,.9360218,.033469193,.10263886
4241,4,4241,2001,182.367,295.66415,334.86615,94.068306,3.9327176,1.0091665,.99509019,1.0145805,380,3.7379999,243.9393,593.23834,329.50644,3992.8218,.30967987,140.15611,1.0882107,.92687398,.041146275,.10611407
4241,5,4241,2002,186.342,161.92479,361.98941,149.87267,4.0762043,.96640146,1.0123698,1.0326812,380,3.74,201.39215,527.43164,319.8562,3597.3171,.38057405,144.9164,1.0604759,.93860674,.040623069,.11331698
4320,1,4320,1998,70.961998,128.96315,231.42372,2.8930817,4.3360682,1.149929,1.002804,1.122858,133,4.0900002,112.22465,261.2901,177.15047,1205.8667,.30013499,126.99948,1.1840621,.96160901,.037664004,.103576
4320,2,4320,1999,69.721001,184.56769,200.51205,103.90863,4.153441,1.0113226,1.0021182,1.1206237,133,4.5739999,135.2468,201.89064,191.95221,1071.5189,.28648388,123.70235,1.1608925,.9468925,.037967741,.11390322
4320,3,4320,2000,70.499001,104.03506,195.35355,63.623543,3.9158957,.92263418,.99403507,1.0520483,205,3.0810001,94.411415,196.82242,233.89601,972.33899,.27110049,130.50531,1.1145242,.9360218,.033469193,.11714218
4373,1,4373,1998,91.197998,174.74617,277.56454,31.932915,4.3360682,1.149929,1.002804,1.122858,253,3.6600001,140.2137,358.75397,334.68988,458.0025,.30013499,126.99948,1.1840621,.96160901,.037664004,.103576
4373,2,4373,1999,87.375,156.11264,257.38577,35.811089,4.153441,1.0113226,1.0021182,1.1206237,253,3.411,146.12389,358.0097,347.70648,571.28503,.28648388,123.70235,1.1608925,.9468925,.037967741,.10930108
4373,3,4373,2000,101.546,175.57436,226.94614,44.185577,3.9158957,.92263418,.99403507,1.0520483,253,4.2989998,125.26926,398.07272,322.27325,582.86951,.27110049,130.50531,1.1145242,.9360218,.033469193,.1093327
4373,4,4373,2001,96.591003,144.73714,254.83241,49.867664,3.9327176,1.0091665,.99509019,1.0145805,243,4.8260002,166.17909,367.07944,272.45923,546.41675,.30967987,140.15611,1.0882107,.92687398,.041146275,.11910763
4373,5,4373,2002,103.178,187.97345,271.42343,36.143894,4.0762043,.96640146,1.0123698,1.0326812,243,4.0799999,182.95566,383.254,310.66815,465.48544,.38057405,144.9164,1.0604759,.93860674,.040623069,.11866213
4373,6,4373,2003,99.525002,185.87402,245.79436,21.662687,3.8158591,.92761791,.99961525,1.0486569,243,4.0679998,140.90872,390.41208,301.1496,436.63385,.35581294,142.44623,1.0632651,.94953018,.023999114,.10225709
4373,7,4373,2004,99.545998,152.89801,248.71793,24.264736,3.9101748,.93702918,1.0201359,1.0045534,243,4.2470002,153.58922,360.8436,310.5,390.91797,.34073788,151.56291,1.0596117,.9962427,.010388349,.082067966
4373,8,4373,2005,68.839996,118.50598,256.1601,22.744162,3.8786802,.93975937,1.0092953,1.0072503,233,3.2030001,111.52813,347.03726,289.14798,393.50873,.38449347,157.63313,1.0358827,.98782104,.0092033008,.08794266
4393,1,4393,1998,37.167999,50.220058,144.42488,31.15304,4.3360682,1.149929,1.002804,1.122858,100,1.978,70.552681,120.19095,83.510742,124.98132,.30013499,126.99948,1.1840621,.96160901,.037664004,.095337003
4393,2,4393,1999,21.795,40.95108,138.02641,19.401438,4.153441,1.0113226,1.0021182,1.1206237,100,1.8609999,64.274529,119.04131,90.143341,111.57491,.28648388,123.70235,1.1608925,.9468925,.037967741,.10239785
4393,3,4393,2000,34.181999,72.064087,124.40068,13.57476,3.9158957,.92263418,.99403507,1.0520483,100,2.125,65.9049,99.942787,87.194679,109.61317,.27110049,130.50531,1.1145242,.9360218,.033469193,.061360192
4393,4,4393,2001,22.549,60.160946,120.29161,29.677696,3.9327176,1.0091665,.99509019,1.0145805,100,1.901,62.352242,105.76168,91.060081,88.050056,.30967987,140.15611,1.0882107,.92687398,.041146275,.081209756
4393,5,4393,2002,24.945999,67.667038,119.75185,17.906832,4.0762043,.96640146,1.0123698,1.0326812,100,2.2290001,62.74194,102.26196,79.391594,160.92264,.38057405,144.9164,1.0604759,.93860674,.040623069,.086591281
4426,1,4426,1998,102.544,160.05424,246.58568,70.531448,4.3360682,1.149929,1.002804,1.122858,201,5.5539999,140.68091,230.15668,207.49745,1685.6849,.30013499,126.99948,1.1840621,.96160901,.037664004,.088275008
4426,2,4426,1999,95.093002,128.77588,269.27325,74.948669,4.153441,1.0113226,1.0021182,1.1206237,201,4.0770001,126.70962,261.21628,226.51762,1571.3337,.28648388,123.70235,1.1608925,.9468925,.037967741,.089741938
4426,3,4426,2000,102.266,134.51633,228.13356,73.672318,3.9158957,.92263418,.99403507,1.0520483,201,3.9460001,107.8048,238.85815,202.42564,1749.0323,.27110049,130.50531,1.1145242,.9360218,.033469193,.088135548
4454,1,4454,1998,98.565002,177.56326,284.2547,65.790985,4.4937863,1.255859,1.002804,.86156398,245,5.2459998,167.832,286.57141,252.08528,1114.7953,.071796998,118.31322,1.1840621,.93100703,.041195001,.10122201
4454,2,4454,1999,100.502,149.40891,369.89093,136.18373,4.2915053,1.1367311,1.0021182,.8767097,245,4.9580002,144.7552,303.867,255.79758,967.11249,.071333334,120.66494,1.1608925,.91697848,.042569894,.11620431
4454,3,4454,2000,102.068,101.21967,339.35016,104.61681,3.9995689,1.0665517,.99403507,1.1412996,250,4.6869998,93.017021,327.0578,225.53348,838.11792,.080326065,130.3681,1.1145242,.9070152,.039047394,.10710143
4454,4,4454,2001,105.231,114.76653,293.74756,113.70363,3.9619532,1.0806311,.99509019,1.0741343,325,3.964,176.54626,303.49515,219.53105,841.85144,.088789329,124.38952,1.0882107,.89222449,.044394664,.10936247
4454,5,4454,2002,104.841,168.72008,318.05069,112.786,4.1275177,1.1075132,1.0123698,1.0390954,305,5.2150002,176.34276,388.70996,213.87259,988.88831,.084453233,126.78995,1.0604759,.92150229,.045968212,.1026267
4454,6,4454,2003,115.064,159.44734,323.29645,236.0981,3.8868129,1.0403094,.99961525,1.0423963,330,4.2249999,145.62807,391.90857,224.59079,1095.647,.0761711,121.64838,1.0632651,.93596548,.026085993,.08347518
4454,7,4454,2004,115.307,153.43848,313.04584,179.23932,3.9517281,1.0637671,1.0201359,.99832046,305,4.9320002,148.55,338.9725,225.49901,1091.7426,.069601946,127.68633,1.0596117,.98169905,.01246602,.075834952
4454,8,4454,2005,116.58,155.28613,274.58054,112.18424,3.9277647,1.0686055,1.0092953,.96021116,305,4.5,140.40079,401.3754,209.86317,1086.2542,.063400522,128.30731,1.0358827,.98066288,.01124848,.080784537
4454,9,4454,2006,142.37399,117.5033,273.44412,210.90718,3.845,1.057,1.002,1.002,308,8.552,142.20079,443.724,224.89024,2367.8899,.059999999,143.94901,1.001,1,.013,.068000004
4473,1,4473,1998,71.223,66.504211,258.59976,19.590164,4.4937863,1.255859,1.002804,.86156398,185,4.6900001,71.249504,181.66751,133.86691,967.42712,.071796998,118.31322,1.1840621,.93100703,.041195001,.095337003
4473,2,4473,1999,69.572998,69.024292,244.94835,35.825459,4.2915053,1.1367311,1.0021182,.8767097,185,4.125,83.550056,140.17064,140.34413,906.03448,.071333334,120.66494,1.1608925,.91697848,.042569894,.10009677
4473,3,4473,2000,65.068001,79.508369,237.95288,33.170086,3.9995689,1.0665517,.99403507,1.1412996,185,3.22,56.862862,156.83763,127.59205,844.10168,.080326065,130.3681,1.1145242,.9070152,.039047394,.10040759
4483,1,4483,1998,81.547997,168.50461,300.93195,43.996857,4.3360682,1.149929,1.002804,1.122858,181,6.7540002,116.77037,219.57895,236.09416,958.7348,.30013499,126.99948,1.1840621,.96160901,.037664004,.13770901
4483,2,4483,1999,83.649002,181.46985,278.41562,3.6960986,4.153441,1.0113226,1.0021182,1.1206237,191,6.0539999,148.33401,229.9028,301.63824,874.44458,.28648388,123.70235,1.1608925,.9468925,.037967741,.14841935
4483,3,4483,2000,82.452003,210.23094,255.09091,12.518558,3.9158957,.92263418,.99403507,1.0520483,191,5.3540001,116.4034,178.29678,246.94438,725.4024,.27110049,130.50531,1.1145242,.9360218,.033469193,.12160474
4489,1,4489,1998,81.280998,190.67665,293.61151,19.012295,4.4937863,1.255859,1.002804,.86156398,253,5.7870002,129.32803,252.02782,287.60544,1425.3387,.071796998,118.31322,1.1840621,.93100703,.041195001,.100045
4489,2,4489,1999,81.589996,205.89981,287.92767,82.317581,4.2915053,1.1367311,1.0021182,.8767097,253,6.0799999,143.81467,246.87704,303.68423,1259.8491,.071333334,120.66494,1.1608925,.91697848,.042569894,.11390322
4489,3,4489,2000,80.246002,224.49582,284.86758,26.471163,3.9995689,1.0665517,.99403507,1.1412996,253,6.0079999,119.17918,248.38989,256.9906,1103.1895,.080326065,130.3681,1.1145242,.9070152,.039047394,.1149109
4489,4,4489,2001,80.646004,220.94388,290.84439,41.636089,3.9619532,1.0806311,.99509019,1.0741343,253,6.1220002,142.15523,287.18326,267.18237,982.54224,.088789329,124.38952,1.0882107,.89222449,.044394664,.11477645
4489,5,4489,2002,84.710999,213.4469,298.38965,39.109055,4.1275177,1.1075132,1.0123698,1.0390954,253,6.6100001,140.31149,267.79584,232.99614,944.22089,.084453233,126.78995,1.0604759,.92150229,.045968212,.12293825
4489,6,4489,2003,89.153,206.1003,283.25363,24.697699,3.8868129,1.0403094,.99961525,1.0423963,253,5.6420002,135.84004,230.99332,258.64093,781.87604,.0761711,121.64838,1.0632651,.93596548,.026085993,.097039901
4489,7,4489,2004,88.591003,199.99609,283.35236,32.276794,3.9517281,1.0637671,1.0201359,.99832046,307,4.8899999,136.68628,242.63492,264.33008,696.91418,.069601946,127.68633,1.0596117,.98169905,.01246602,.092456311
4489,8,4489,2005,106.728,228.5914,268.57141,53.200214,3.9277647,1.0686055,1.0092953,.96021116,374,5.256,135.89734,335.51303,237.78087,657.18866,.063400522,128.30731,1.0358827,.98066288,.01124848,.068513468
4490,1,4490,1998,78.931999,193.86597,274.90375,17.049179,4.4937863,1.255859,1.002804,.86156398,213,4.6799998,157.48807,310.0986,293.55481,1308.9573,.071796998,118.31322,1.1840621,.93100703,.041195001,.094159998
4490,2,4490,1999,81.569,191.44232,302.27097,59.57349,4.2915053,1.1367311,1.0021182,.8767097,236,4.5650001,153.88405,283.37265,292.99597,1260.5908,.071333334,120.66494,1.1608925,.91697848,.042569894,.10469893
4490,3,4490,2000,81.248001,224.02512,286.55893,71.136856,3.9995689,1.0665517,.99403507,1.1412996,236,4.348,120.31831,260.15744,276.79498,1107.054,.080326065,130.3681,1.1145242,.9070152,.039047394,.10487014
4490,4,4490,2001,82.348999,202.4469,297.06638,50.402218,3.9619532,1.0806311,.99509019,1.0741343,236,4.1739998,132.57312,299.91263,263.88376,994.99878,.088789329,124.38952,1.0882107,.89222449,.044394664,.11044526
4490,5,4490,2002,82.538002,191.28282,341.00842,52.862141,4.1275177,1.1075132,1.0123698,1.0390954,236,3.9159999,130.99496,252.855,236.66988,912.06653,.084453233,126.78995,1.0604759,.92150229,.045968212,.11652407
4490,6,4490,2003,83.845001,179.34705,279.35699,40.828827,3.8868129,1.0403094,.99961525,1.0423963,223,3.29,128.83611,315.82162,243.19859,1039.1393,.0761711,121.64838,1.0632651,.93596548,.026085993,.089735821
4490,7,4490,2004,86.667,176.24023,276.04074,43.344433,3.9517281,1.0637671,1.0201359,.99832046,223,3.72,118.33138,269.74393,227.11035,1230.4004,.069601946,127.68633,1.0596117,.98169905,.01246602,.067524269
4490,8,4490,2005,82.595001,193.2603,284.6778,48.173588,3.9277647,1.0686055,1.0092953,.96021116,223,4.2020001,124.34946,301.40771,214.98279,1154.6493,.063400522,128.30731,1.0358827,.98066288,.01124848,.071581237
4490,9,4490,2006,87.931,183.37842,281.12775,68.781441,3.845,1.057,1.002,1.002,223,3.925,110.2997,304.66,232.01985,1078.8596,.059999999,143.94901,1.001,1,.013,.075999998
4495,1,4495,1998,63.976002,101.71227,323.72302,34.782787,4.4937863,1.255859,1.002804,.86156398,224,3.76,87.558647,194.97725,168.83784,908.75366,.071796998,118.31322,1.1840621,.93100703,.041195001,.097691
4495,2,4495,1999,58.830002,71.645752,296.64063,60.908134,4.2915053,1.1367311,1.0021182,.8767097,224,3.434,135.17247,176.17441,182.38867,878.49744,.071333334,120.66494,1.1608925,.91697848,.042569894,.10930108
4495,3,4495,2000,59.796001,94.415276,289.56677,27.242424,3.9995689,1.0665517,.99403507,1.1412996,264,3.355,79.355354,195.28044,179.67783,786.53577,.080326065,130.3681,1.1145242,.9070152,.039047394,.092598103
4495,4,4495,2001,61.305,86.165321,283.45157,31.059477,3.9619532,1.0806311,.99509019,1.0741343,264,3.5539999,81.160202,243.37743,167.46693,721.36353,.088789329,124.38952,1.0882107,.89222449,.044394664,.13426679
4495,5,4495,2002,69.039001,90.761581,308.53854,53.040123,4.1275177,1.1075132,1.0123698,1.0390954,264,4.3060002,83.989922,206.01973,148.87839,734.4715,.084453233,126.78995,1.0604759,.92150229,.045968212,.11866213
4495,6,4495,2003,69.686996,101.27483,278.0668,74.65966,3.8868129,1.0403094,.99961525,1.0423963,256,3.2939999,88.270844,236.8952,194.93883,677.35657,.0761711,121.64838,1.0632651,.93596548,.026085993,.088692375
